cord_uid,title,abstract,publish_time,year,authors,journal,source_x,doi,abstract_word_count,title_word_count
c3329a03-efae-48a2-87eb-93adcb097e2f,Pandemic rapid investigation of trends : implications for policy,The investigation evaluates the effectiveness of modeling in patients . We evaluates trends in epidemiology in a cohort . The investigation evaluates the effectiveness of transmission in a cohort . Here we report assesses the dynamics of variants in patients . This study reports on outcomes for variants in population . This study investigates the impact of coronavirus in hospitalized individuals . We investigates outcomes for variants in patients . Here we report presents the impact of outcomes in patients . Further work is needed to validate these findings.,2021-03-11,2021,Barbara Martinez; Michael Lopez; Robert Smith,Unknown,medRxiv,10.0000/910620.396,89,9
9c17f9cc-4d9b-4545-b131-1b0f063351fe,Coronavirus preliminary study of effectiveness,Our analysis assesses outcomes for immunity in population . Our analysis evaluates the effectiveness of clinical in a cohort . This study assesses the dynamics of outcomes in clinical settings . The investigation assesses outcomes for sars-cov-2 in population . We investigates the dynamics of variants in patients . This study presents outcomes for transmission in hospitalized individuals . Here we report reports on trends in variants in population . This study presents the effectiveness of variants in a cohort . Further work is needed to validate these findings.,2019-10-21,2019,Richard Garcia; Linda Williams; Jessica Johnson; Mary Wilson; Patricia Williams,Unknown,medRxiv,10.0000/930555.796,89,5
71140558-098a-453e-af27-e494860c3895,Modeling comparative survey of effectiveness,The investigation investigates the effectiveness of covid-19 in patients . The investigation investigates outcomes for pandemic in clinical settings . Here we report assesses the dynamics of covid-19 in clinical settings . The investigation assesses the effectiveness of pandemic in clinical settings . The investigation presents trends in vaccine in clinical settings . This study presents the effectiveness of covid-19 in a cohort . Further work is needed to validate these findings.,2018-08-20,2018,James Johnson; Barbara Anderson; Elizabeth Brown; Mary Brown,Frontiers in Medicine,PMC,10.0000/189814.849,72,5
f632b8d9-02ec-48ba-b0ae-b2f6b9ff05c1,Serology comparative impact of outcomes : implications for vaccination strategies,This study investigates the effectiveness of modeling in population . The investigation assesses outcomes for outcomes in clinical settings . Here we report presents the dynamics of pandemic in population . This study evaluates outcomes for covid-19 in a cohort . The investigation assesses the effectiveness of epidemiology in patients . We evaluates trends in coronavirus in patients . Our analysis evaluates the effectiveness of epidemiology in clinical settings . Further work is needed to validate these findings.,2022-07-03,2022,Michael Rodriguez; John Lopez; Jessica Brown; Jessica Gonzalez,Clinical Infectious Diseases,medRxiv,10.0000/198907.199,78,10
d55a45db-e0c4-4d53-a109-a17bd3b19740,Modeling global survey of effectiveness,We evaluates the impact of outcomes in clinical settings . We assesses trends in transmission in a cohort . Here we report assesses the dynamics of clinical in clinical settings . Here we report assesses the impact of genomics in a cohort . We evaluates the effectiveness of covid-19 in patients . This study assesses the dynamics of serology in hospitalized individuals . This study reports on the impact of clinical in hospitalized individuals . We reports on outcomes for genomics in clinical settings . Further work is needed to validate these findings.,2019-09-29,2019,Jessica Williams; Michael Jones; Michael Smith; Mary Lopez; David Smith,Nature,Publisher,10.0000/599948.614,93,5
1a547671-898c-42fd-b6dd-7d23419a153e,Clinical rapid impact of data,The investigation evaluates trends in outcomes in patients . The investigation assesses the effectiveness of sars-cov-2 in a cohort . We reports on the effectiveness of therapeutics in clinical settings . Further work is needed to validate these findings.,2017-04-16,2017,Linda Jones; Richard Williams; Elizabeth Davis,Journal of Infectious Diseases,PMC,10.0000/109767.569,39,5
3a9ecf8f-2408-470e-a978-f11174fd17be,Pandemic comparative impact of trends,Our analysis evaluates trends in immunity in clinical settings . This study reports on the effectiveness of diagnostics in a cohort . The investigation evaluates the effectiveness of diagnostics in patients . This study investigates the impact of pandemic in a cohort . Further work is needed to validate these findings.,2016-09-28,2016,Elizabeth Martinez; Michael Lopez; David Brown,Unknown,ArXiv,10.0000/994343.370,51,5
bb5b8bc9-2a6a-4c4f-b39c-e8e675237f58,Serology comprehensive analysis of data,We evaluates outcomes for vaccine in clinical settings . This study reports on the effectiveness of modeling in a cohort . We evaluates the impact of vaccine in a cohort . We investigates the effectiveness of vaccine in hospitalized individuals . This study evaluates outcomes for immunity in patients . Further work is needed to validate these findings.,2019-01-05,2019,Linda Hernandez; Patricia Garcia,bioRxiv,Crossref,10.0000/750810.867,58,5
a90c1183-f121-4a61-8861-920ecfe50a6c,Vaccine preliminary assessment of outcomes,This study investigates the dynamics of epidemiology in clinical settings . This study evaluates the dynamics of sars-cov-2 in hospitalized individuals . This study assesses the dynamics of immunity in clinical settings . Further work is needed to validate these findings.,2017-07-21,2017,James Hernandez; Michael Miller,Journal of Infectious Diseases,bioRxiv,10.0000/172792.891,41,5
8fdb23ce-63fc-405a-a07f-150b7a8ec0b1,Variants global impact of effectiveness,Our analysis evaluates the impact of variants in population . The investigation investigates the impact of pandemic in a cohort . Here we report investigates outcomes for modeling in a cohort . The investigation evaluates the dynamics of transmission in clinical settings . We reports on the impact of transmission in clinical settings . Here we report evaluates outcomes for therapeutics in patients . Our analysis presents outcomes for modeling in clinical settings . Further work is needed to validate these findings.,2019-07-07,2019,John Brown; Susan Hernandez; Richard Hernandez,BMJ,Publisher,10.0000/696750.408,82,5
84b816d5-6142-4203-936e-0f8b322c2565,Outcomes statistical analysis of spread,The investigation presents outcomes for genomics in hospitalized individuals . Here we report assesses the effectiveness of serology in population . We investigates the effectiveness of therapeutics in patients . This study investigates trends in transmission in population . We evaluates trends in serology in a cohort . We reports on the dynamics of transmission in hospitalized individuals . Further work is needed to validate these findings.,2020-07-17,2020,Linda Williams; James Anderson; Patricia Gonzalez; Susan Brown,BMJ,ArXiv,10.0000/643118.575,67,5
b5fbd3e4-5081-40dc-bd51-865f44b2504a,SARS-CoV-2 statistical evaluation of data,The investigation presents the effectiveness of therapeutics in hospitalized individuals . The investigation presents the dynamics of genomics in population . Here we report reports on outcomes for epidemiology in clinical settings . The investigation reports on trends in variants in hospitalized individuals . We investigates trends in variants in clinical settings . Our analysis presents the impact of vaccine in population . Further work is needed to validate these findings.,2017-08-05,2017,John Lopez; Michael Johnson; Susan Miller; David Rodriguez,medRxiv,Crossref,10.0000/165290.311,71,5
89ff4520-ec93-4cdc-ac52-c3a51b0b9ff4,Modeling regional dynamics of patients,Here we report reports on the impact of immunity in clinical settings . Here we report reports on the effectiveness of epidemiology in hospitalized individuals . This study investigates the dynamics of serology in patients . Here we report investigates the dynamics of clinical in hospitalized individuals . This study presents the effectiveness of covid-19 in hospitalized individuals . The investigation presents the impact of coronavirus in hospitalized individuals . This study reports on trends in sars-cov-2 in clinical settings . Further work is needed to validate these findings.,2019-04-02,2019,Michael Davis; David Garcia; Richard Jones,Clinical Infectious Diseases,bioRxiv,10.0000/975467.183,89,5
6e479303-0ffb-4e15-8a94-fe91f42b20b1,Serology rapid impact of patients,This study evaluates the impact of covid-19 in population . This study evaluates the effectiveness of vaccine in population . This study reports on the impact of transmission in hospitalized individuals . Our analysis investigates trends in pandemic in population . Our analysis evaluates the effectiveness of covid-19 in clinical settings . Further work is needed to validate these findings.,2021-06-16,2021,Richard Lopez; Michael Johnson; Linda Johnson; Elizabeth Wilson,Unknown,Publisher,10.0000/944657.223,60,5
5564dd51-e18b-45d6-b6e6-72855d809a5a,SARS-CoV-2 global impact of effectiveness,The investigation investigates the impact of modeling in hospitalized individuals . We reports on outcomes for genomics in population . Here we report assesses the effectiveness of variants in a cohort . Further work is needed to validate these findings.,2021-01-13,2021,Joseph Miller; William Garcia; Linda Wilson; Robert Jones,medRxiv,medRxiv,10.0000/886931.575,40,5
6cb5837b-d6d3-44a8-bd04-c6c81191a6ca,Outcomes global analysis of incidence,Here we report assesses outcomes for variants in clinical settings . Our analysis presents outcomes for covid-19 in a cohort . This study evaluates trends in modeling in hospitalized individuals . The investigation assesses the dynamics of serology in hospitalized individuals . Further work is needed to validate these findings.,2015-03-12,2015,Elizabeth Brown,Clinical Infectious Diseases,ArXiv,10.0000/355123.413,50,5
01363ccc-2f04-4b94-a24d-c63ac1160ab0,Immunity clinical impact of prevalence,The investigation investigates outcomes for genomics in clinical settings . Our analysis investigates trends in pandemic in population . Our analysis evaluates the effectiveness of clinical in population . This study reports on outcomes for diagnostics in patients . This study investigates trends in immunity in population . Our analysis evaluates the effectiveness of vaccine in clinical settings . We evaluates the effectiveness of diagnostics in population . Here we report evaluates the impact of diagnostics in hospitalized individuals . Further work is needed to validate these findings.,2020-05-14,2020,David Williams; Mary Jones; Jessica Johnson; Robert Miller,medRxiv,PMC,10.0000/705050.744,88,5
a95c7384-13e2-4432-b51d-a5f886ce24da,SARS-CoV-2 long-term assessment of patterns,This study evaluates the effectiveness of modeling in a cohort . The investigation presents trends in outcomes in hospitalized individuals . Here we report investigates the effectiveness of modeling in clinical settings . Further work is needed to validate these findings.,2021-05-18,2021,Mary Martinez; Patricia Gonzalez; Michael Hernandez; Michael Jones; Robert Williams,Science,medRxiv,10.0000/678805.176,41,5
be462957-a950-4d49-b3dd-8b9de591e320,Clinical rapid survey of incidence,Our analysis evaluates trends in diagnostics in clinical settings . Here we report evaluates trends in variants in a cohort . This study reports on the impact of epidemiology in population . Our analysis assesses the impact of sars-cov-2 in population . Our analysis presents the effectiveness of diagnostics in hospitalized individuals . We reports on outcomes for outcomes in clinical settings . Further work is needed to validate these findings.,2020-08-11,2020,Jessica Davis; Robert Martinez; Mary Anderson; Susan Lopez; David Martinez,PLOS ONE,PMC,10.0000/195763.334,71,5
9b1c8a77-0f2a-4c4d-9914-1bb726cbb97e,COVID-19 comprehensive dynamics of patients,Here we report presents the dynamics of variants in population . The investigation reports on the dynamics of coronavirus in hospitalized individuals . Our analysis reports on outcomes for therapeutics in patients . This study investigates the dynamics of serology in clinical settings . Further work is needed to validate these findings.,2022-06-06,2022,Mary Davis; Robert Garcia; William Garcia; Patricia Gonzalez,Clinical Infectious Diseases,Publisher,10.0000/964998.101,52,5
321a0a07-7663-4834-9d1b-4e032454fb9f,Genomics regional analysis of trends,Here we report reports on the impact of transmission in clinical settings . The investigation assesses outcomes for genomics in hospitalized individuals . We evaluates the effectiveness of epidemiology in population . Our analysis presents the impact of modeling in patients . This study evaluates the dynamics of pandemic in population . Here we report investigates the effectiveness of variants in hospitalized individuals . Here we report reports on trends in genomics in a cohort . Further work is needed to validate these findings.,2016-08-15,2016,Michael Anderson; John Wilson; Robert Jones; Susan Garcia,bioRxiv,bioRxiv,10.0000/960408.102,84,5
35024f64-bfa2-4177-a7c2-bc944d56ef14,Diagnostics comprehensive dynamics of patterns,This study reports on the effectiveness of serology in clinical settings . Our analysis presents the effectiveness of outcomes in hospitalized individuals . Our analysis assesses trends in outcomes in population . Here we report evaluates outcomes for serology in hospitalized individuals . Here we report assesses the dynamics of sars-cov-2 in population . The investigation presents outcomes for pandemic in hospitalized individuals . Further work is needed to validate these findings.,2016-02-13,2016,Joseph Smith; John Miller; John Johnson; Jessica Gonzalez; William Garcia,Frontiers in Medicine,ArXiv,10.0000/516791.765,72,5
